FactoryName,Address,District,Division,PostCode,PhoneCityCode,Phone,PhoneExtension,Buildings,Stories,factoryMultiPurpose,factoryMultiFactory,floors,workers,activeMembers
4A YARN DYEING LTD.,"Kaichabari, Savar",Dhaka,Dhaka,,2,79111568,,3,1/5; 2/1; 3/1;,No,No,,1250,3
4S Park Style Ltd.,"Durgapur, Ashulia, Savar",Dhaka,Dhaka,,2,9016954,,1,1/6;,No,No,,550,2
4 Knitwear ltd,"Pathantuli,Godnail",Narayanganj,Dhaka,1400,2,7641780,,,,No,No,,450,1
4 You Clothing Ltd,367/1 Senpara parbota Mirpur Dhaka,Dhaka,Dhaka,1216,2,8020125,,,1/10;,No,No,,2000,1
A Class Composite Ltd.,"East Isdair, Beside LGED Office, Fatullah, Narayanganj",Narayanganj,Dhaka,,2,7642798,,,,No,No,,,1
A J Super Garments Ltd.,"Goshbag, Post‐ Zirabo, Thana ‐ Savar",Dhaka,Dhaka,1341,2,7702200,,1,1/6;,No,No,,2700,1
A Plus Ind.Ltd.,"Plot‐28, Milk Vita Rd., Section‐07, Mirpur, Dhaka Dhaka",,Dhaka,1216,2,9338091,,1,1/6;,No,Yes,"1/0,3,4,5;",2200,1
A&A Trousers Ltd,"Haribari Tak, Pubail Collage Gate, Pubail, Gazipur, Sadar, Gazipur",Gazipur,Dhaka,,2,224255,,1,1/5;,Yes,Yes,1/5‐2/5;,1200,1
A&B Outerwear Ltd,"Plot #29‐32, Sector # 4, CEPZ, Chittagong. Bangladesh., Sector #4 South Halishahar, CEPZ,",Chittagong,Chittagong,,2,8952704,,4,1/3; 2/2; 3/1; 4/1;,No,No,‐,845,5
A.K.M. KNIT WEAR LTD.,"14 No. Genda, Karnopara, Ulail, Savar",Dhaka,Dhaka,1340,2,7712373,,6,"1/6; 2/6,3/4, 4/2, 5/1, 6/1,7/1;",No,No,,10500,4
A.M Design Ltd.,"Diakhali, Beron, Jamgara, Ashulia",Dhaka,Dhaka,,2,7790228,,3,1/4; 2/2; 3/1;,No,No,,1650,2
A.M.C.S. Textiles Limited,41 & 52 AEPZ Narayangonj Bangladesh,Narayanganj,Dhaka,1217,2,7691251,,1,1/4;,No,No,N/A,2500,5
