factory_name,oc id,oc name
Desh Garments Ltd,,
Baishaki Garments Ltd.,/companies/bd/C-5669,Baishaki Garments Ltd.
Reaz Garments Ltd.,,
Ashraf Garments (Pvt.) Ltd.,,
Continental Garments Inds. (Pvt) Ltd.,,
Paris Garments (Pvt). Ltd.,,
Beauty Garments (Pvt) Ltd.,,
Central Garments Industry Ltd.,,
Concorde Garments Ltd.,,
Smart Apparels (Pte) Limited,/companies/bd/C-8284,Smart Apparels (Pte) Limited
Elite Garments Inds. Ltd.,,
Jupiter Readymade Garments Ltd.,,
Lucky Garments Inds. (Pvt) Ltd. (U-1),,
Basundhara Garments Ltd.,,
Jeans Manufacturing Company Ltd.,,
Abedin Garments Ltd.,/companies/bd/C-11015,Abedin Garments Ltd.
Stylecraft Ltd.,,
Shoronika Garments Ltd.,,
Brothers Garments Ltd.,,
Areana Garments Ltd.,/companies/bd/C-10272,Areana Garments Ltd.
Kazi Fashion Ltd.,/companies/bd/C-11006,Kazi Fashion Ltd.
Evince Garments Ltd.,,
Society Garments Industries Ltd.,,
Shahtex Garment Industries Ltd.,,
Moazzem Garment Inds. Ltd.,,
Shagore Garments Ltd.,,
Smart Fashion International Ltd.,/companies/bd/C-11466,Smart Fashion International Ltd.
Abc Garments Ltd.,/companies/bd/C-11260,Abc Garments Ltd.
M.B.M. Garments Ltd.,/companies/bd/C-10384,M.B.M. Garments Ltd.
Bp Garments Ltd.,/companies/bd/C-11534,Bp Garments Ltd.
Milliner Garments Ltd.,,
Pusan Bangladesh Ltd.,,
Afco Abedin Garments Ltd.,/companies/bd/C-16977,Afco Abedin Garments Ltd.
Astras Garments Ltd.,/companies/bd/C-10585,Astras Garments Ltd.
Z. I. Apparels Limited,/companies/bd/C-12403,Z. I. Apparels Limited
Uttaran Garments Ltd.,/companies/bd/C-12092,Uttaran Garments Ltd.
Arrow Apparels Ltd.,/companies/bd/C-12879,Arrow Apparels Ltd.
Khalil Garments Limited.,/companies/bd/C-8944,Khalil Garments Limited.
Medallion Garments Ltd.,,
AG's Apparels Ltd,,
Ali Garments Ltd.,/companies/bd/C-12375,Ali Garments Ltd.
Allied Garments Ltd.,,
Alpine Limited (Gmt. Div.),,
Kumudini Garments,,
Banga Garments Ltd.,/companies/bd/C-12273,Banga Garments Ltd.
Birds Garments Ltd.,,
Beximco Apparels Limited,/companies/bd/C-12775,Beximco Apparels Limited
Mark Garments Inds. Ltd.,,
Deluxe Garment Industries Ltd.,,
Dressmen Ltd.,,
Misami Garments Ltd.,,
Essential Garments Ltd.,,
N.A. Garments Ltd.,/companies/bd/C-11727,N.A. Garments Ltd.
Gem Apparels Ltd.,/companies/bd/C-11541,Gem Apparels Ltd.
Newage Garments Ltd.,,
