"V2","typ"
"4A YARN DYEING LTD.","accord"
"4S Park Style Ltd.","accord"
"4 Knitwear ltd","accord"
"4 You Clothing Ltd","accord"
"A Class Composite Ltd.","accord"
"A J Super Garments Ltd.","accord"
"A Plus Ind.Ltd.","accord"
"A&A Trousers Ltd","accord"
"A&B Outerwear Ltd","accord"
"A.K.M. KNIT WEAR LTD.","accord"
"A.M Design Ltd.","accord"
"A.M.C.S. Textiles Limited","accord"
"A.T.S. Apparels Limited","accord"
"ABA Fashions Ltd.","accord"
"Ababil Knit Composite Ltd","accord"
"ABANTI COLOUR TEX LTD","accord"
"ABC Garment Ltd.","accord"
"Abir Fashions Ltd","accord"
"ABLOOM DESIGN LIMITED","accord"
"ABM FASHION LTD","accord"
"ABONI FASHIONS LTD","accord"
"Aboni Knitwear","accord"
"Accede International","accord"
"ACS Textiles (Bangladesh) Ltd.","accord"
"ACS Towel Ltd","accord"
"Active Composite Mills Limited","accord"
"ACTOR SPORTING LTD.","accord"
"Adhunik Poshak Shilpa Limited","accord"
"Adila Apparels","accord"
"Adity Knitwear Ltd.","accord"
"Adorn Knitwear Ltd.","accord"
"Adury Apparels Ltd.","accord"
"Advance Sweater Ind. Ltd.","accord"
"Advance World Ltd","accord"
"AFCO ABEDIN GARMENTS","accord"
"Ahsan Composite Ltd.","accord"
"Ajax Sweater Limited","accord"
"AKH Apparels Ltd","accord"
"AKH FASHIONS LIMITED","accord"
"AKH FASHIONS LTD","accord"
"AKH KNITTING & DYEING LTD.","accord"
"AKH Shirts Ltd. (Unit 3)","accord"
"AKH Stitch Art LTD","accord"
"AKH Stitch Art Ltd.","accord"
"Al Islam Textile Industry Ltd.","accord"
"Alamode Apparels Ltd.","accord"
"Alaudin Garments Ltd.","accord"
"Aleaya Sweater Ltd.","accord"
"Alema Textiles Ltd","accord"
"Alfa Patterns (Bangladesh)Ltd.","accord"
"Alfa Textiles Ltd.","accord"
"Ali Apparels Ltd.","accord"
"Alif Apparels Ltd.","accord"
"ALIF GARMENTS LIMITED","accord"
"Alif Garments Ltd.","accord"
"Alif Textiles Ltd.","accord"
"AL‐ISLAM TEXTILES LTD","accord"
"ALL WEATHER FASHIONS LTD","accord"
"Alliance Stitches Ltd.","accord"
"ALLTEX INDUSTRIES LTD","accord"
"Alpha Knit App.Ltd.","accord"
"Alpha Knitting Wear Limited","accord"
"Alps Apparels LTD/KNIT TOP&BOTTOM","accord"
"AMA Syntex Ltd","accord"
"AMAN FASHIONS & DESIGNS LTD","accord"
"Aman Graphics & Designs Ltd.","accord"
"Aman Knitting","accord"
"Aman Knittings Limited","accord"
"Aman Sweaters Ltd","accord"
"Aman Tex Limited","accord"
"Amazing Fashion Ltd","accord"
"Amazon Tex Knit Fashion Ltd","accord"
"Ambia Apparels Ltd.","accord"
"AMCO FASHINS LTD","accord"
"Amena (Pvt.) Ltd.","accord"
"Amex Knitting & Dyeing Industries Ltd.","accord"
"Amichi Apparels Ltd.","accord"
"Amir Sweater & Apparels Ltd.","accord"
"Amity design ltd.","accord"
"Amity Sweaters Ltd.","accord"
"Amotex Ltd.","accord"
"Ltd.","accord"
"AMS Knitwear Ltd.","accord"
"Anam Garments Ltd","accord"
"Anan Socks Ltd.","accord"
"Ananta Apparels Ltd .136 Elephant Road, Ananta Plaza","accord"
"Ananta Casual Wear Ltd.","accord"
"Ananta Denim","accord"
"ANANTA GARMENTS LTD","accord"
"Ananta Huaxiang Ltd.","accord"
"Ananta Jeans wear Ltd.","accord"
"Angshuk Ltd.","accord"
"Anik composite mills ltd.","accord"
"Anika Garments (Pvt.) Ltd.","accord"
"Anlima Textile Limited","accord"
"Annesha Group Of Co. Ltd.","accord"
"Annesha Style Limited","accord"
"Anowara Fashions Ltd","accord"
"Anowara Knit Composite Ltd.","accord"
"Antim Knit Composite LTD","accord"
"Antim Knitting Dyeing & Finishing Ltd.","accord"
"ANUPAM HOSIERY INDUSTRY (PVT.) LTD.","accord"
"Anupom Fashion Wear Ltd.","accord"
"Anzir apparels ltd ( unite 2)","accord"
"A‐One BD","accord"
"A‐One Polar Limited","accord"
"Apex Adelchi footwear Limited.","accord"
"Apex Knit composite Ltd.","accord"
"Apex Lingerie Ltd.","accord"
"Apex Spinning & Knitting Mills","accord"
"Apex Textile Printing Mills","accord"
"Apex Weaving & Finishing Mills Ltd","accord"
"Apex Weaving and Finishing Mills","accord"
"Apparel 21 Ltd. neue Unit (Lithe Group)","accord"
"Apparel Bangla Sourcing ltd","accord"
"Apparel Concept Ltd.","accord"
"Apparel Gallery Ltd","accord"
"Apparel Today Ltd.","accord"
"APPAREL VILLAGE","accord"
"APS Apparels Ltd.","accord"
"APS Design Works Ltd.","accord"
"Aptech Designs Ltd","accord"
"AR Knittwear ltd","accord"
"ARA / Apparel Export Ltd.","accord"
"ARABI Fashion Ltd","accord"
"ARAFAT FASHION GARMENTS LIMITED","accord"
"AREFIN TEXTILE MILLS LIMITED.","accord"
"Arion Dresses Limited","accord"
"Aristocrat Fashion(Pvt.)Ltd","accord"
"Arjon Fashions Ltd.","accord"
"Armana Fashions","accord"
"ARMOUR GARMENTS LTD","accord"
"AROUND STAR SWEATERS LTD.","accord"
"Arrival Fashion Limited","accord"
"ARRIVAL FINISHING CENTER LTD","accord"
"Arrow Apparels Ltd","accord"
"Arrow Jeans Ltd","accord"
"Artisan Ceramics Limited","accord"
"ARTISTIC DESIGN LTD","accord"
"Arunima Apparels Ltd.","accord"
"Arunima Sportswear Ltd","accord"
"Arva Textiles Ltd","accord"
"Aryan Knitwear","accord"
"Designs Ltd)","accord"
"Ashique Dress Design Ltd.","accord"
"Ashique Jeans Apparels Ltd.","accord"
"Ashulia Apparels ltd","accord"
"ASK HANDICRAFTS LTD","accord"
"Asrotex","accord"
"Asrotex Unit 2Batjuri, Natun Bazar, Sreepur, Gazipur, Dhaka","accord"
"AST Knitwear Limited","accord"
"ASTRAS GARMENTS LTD","accord"
"ASWAD COMPOSITE MILLS LTD. ( U‐2)","accord"
"Atashi fashion ltd.","accord"
"ATHLETIC SUPPORT LIMITED","accord"
"ATS PEARL LTD","accord"
"ATTIRS MANUFACTURING CO","accord"
"Avant Garde Fashion Ltd.","accord"
"Ayesha Clothing Co. Ltd.","accord"
"Ayesha Washing Limited","accord"
"Ayman Textiles Ltd.","accord"
"Azad Rifath","accord"
"Azim & Son (Pvt) Ltd Unit 135‐B/1, INDIRA ROAD, DHAKA","accord"
"Azim & Son (Pvt) Ltd Unit 2Gacha Road, Fakir Market, Gazipur","accord"
"Azim Mannan Garments Ltd.","accord"
"B2B Excellence Ltd","accord"
"FASHION","accord"
"Babylon Dressess Ltd.","accord"
"BABYLON GARMENTS AND DRESSES LTD","accord"
"Badgetex Apparels Ltd","accord"
"Badhan Knit Fashion Ltd","accord"
"BAIZED DRESSES (PVT) LIMITED","accord"
"Baleno Readymade Garments Pvt. Ltd.","accord"
"BANDO DESIGN LTD.","accord"
"Bando Fashion","accord"
"BandoFashins Ltd.","accord"
"Banex Apparels Limited","accord"
"BANGA GARMENTS LIMITED","accord"
"Bangla Poshak Limited","accord"
"Bangladesh Spinners & Knitters (PVT) Ltd","accord"
"Ltd.","accord"
"Base Fashion Ltd","accord"
"Base Textiles Ltd","accord"
"Basic Apparels Ltd.","accord"
"BASIC IMPEX group Motaleb","accord"
"Basic Shirts Ltd.","accord"
"Baxter Brenton (BD) Clothing Mfg. Co. Ltd. FS SFB: 07(1st Floor) DEPZ, Savar","accord"
"Bay Creation Ltd","accord"
"Bay footwear Ltd.","accord"
"BD. Knit Design Ltd.","accord"
"BEA‐CON KNIT WEAR LTD.","accord"
"BEATS FASHION","accord"
"BEAT'S FASHION LTD","accord"
"Beget Knitwear","accord"
"BEKA Garments & Textiles Ltd","accord"
"Belamy Textiles Ltd.","accord"
"Bellissima Apparels Limited","accord"
"Bengal Jeans Ltd","accord"
"Bengal Shoes Industries","accord"
"Benhid Apparels Ltd","accord"
"Beo Apparel Manufacturing Ltd.","accord"
"Beq Knit Ltd","accord"
"BEST SHIRTS LTD","accord"
"Best Wool Sweaters Ltd","accord"
"Beximco Apparels Ltd","accord"
"Beximco Fashions Ltd.","accord"
"BGD Test IMPORT factory 3777 Different drive, 2345, 34567,","accord"
"BHIS Apparels Ltd","accord"
"Bhml Sweaters Ltd.","accord"
"Bhuyan Warmtex (Pvt.) Ltd.","accord"
"BIANCA Fashion","accord"
"BIG BOSS CORPORATION LTD.","accord"
"BILLAH RESOURCES LTD","accord"
"Birds A & Z LTD.","accord"
"Birds Garments Ltd.","accord"
"BISWAS GROUP","accord"
"BKC Sweater Ltd","accord"
"Blithe Fashion Ltd.","accord"
"BLOOMINGTEX LTD.","accord"
"Body Fashion","accord"
"Bodystretch Bangladesh Ltd","accord"
"Bonded Fashion Ltd.","accord"
"Bonny Apparels (Pvt) Ltd. Unit ‐ 21, Chowdhury Para, D.I.T. Road, Dhaka","accord"
"Borax Apparels Ltd.","accord"
"Bottom Gallery Pvt. Ltd.","accord"
"BRANDIX CASUALWEAR BANGLADESH","accord"
"BRITEX SPORTSWEAR LIMITED","accord"
"BROTHERS FASHION LTD","accord"
"C & A Fashion Ltd","accord"
"CA Knitwear Ltd.","accord"
"Cadtex Garments Ltd","accord"
"CAESAR APPARELS LIMITED.","accord"
"Calico Sweater ltd","accord"
"Camio USA Knitwear Ltd.","accord"
"Capella","accord"
"Capital Poshak Ltd.","accord"
"Capri Apparels Ltd","accord"
"Carlos Leather Fashion Ltd.","accord"
"Cassiopea Apparels Ltd","accord"
"Cassiopea Clothing Ltd","accord"
"Cassiopea Fashion Ltd","accord"
