V2,norm,typ
4A YARN DYEING LTD.,4A YARN DYEING,accord
4S Park Style Ltd.,4S PARK STYLE,accord
4 Knitwear ltd,4 KNITWEAR,accord
4 You Clothing Ltd,4 YOU CLOTHING,accord
A Class Composite Ltd.,A CLASS COMPOSITE,accord
A J Super Garments Ltd.,A J SUPER GARMENTS,accord
A Plus Ind.Ltd.,A PLUS IND,accord
A&A Trousers Ltd,A & A TROUSERS,accord
A&B Outerwear Ltd,A&B OUTERWEAR,accord
A.K.M. KNIT WEAR LTD.,AKM KNIT WEAR,accord
A.M Design Ltd.,AM DESIGN,accord
A.M.C.S. Textiles Limited,AMCS TEXTILES,accord
A.T.S. Apparels Limited,ATS APPARELS,accord
ABA Fashions Ltd.,ABA FASHIONS,accord
Ababil Knit Composite Ltd,ABABIL KNIT COMPOSITE,accord
ABANTI COLOUR TEX LTD,ABANTI COLOUR TEX,accord
ABC Garment Ltd.,ABC GARMENT,accord
Abir Fashions Ltd,ABIR FASHIONS,accord
ABLOOM DESIGN LIMITED,ABLOOM DESIGN,accord
ABM FASHION LTD,ABM FASHION,accord
ABONI FASHIONS LTD,ABONI FASHIONS,accord
Aboni Knitwear,ABONI KNIT WEAR,accord
Accede International,ACCEDE INTERNATIONAL,accord
ACS Textiles (Bangladesh) Ltd.,ACS TEXTILES BANGLADESH,accord
ACS Towel Ltd,ACS TOWEL,accord
Active Composite Mills Limited,ACTIVE COMPOSITE MILLS,accord
ACTOR SPORTING LTD.,ACTOR SPORTING,accord
Adhunik Poshak Shilpa Limited,ADHUNIK POSHAK SHILPA,accord
Adila Apparels,ADILA APPARELS,accord
Adity Knitwear Ltd.,ADITY KNITWEAR,accord
Adorn Knitwear Ltd.,ADORN KNITWEAR,accord
Adury Apparels Ltd.,ADURY APPARELS,accord
Advance Sweater Ind. Ltd.,ADVANCE SWEATER IND,accord
Advance World Ltd,ADVANCE WORLD,accord
AFCO ABEDIN GARMENTS,AFCO ABEDIN GARMENTS,accord
Ahsan Composite Ltd.,AHSAN COMPOSITE,accord
Ajax Sweater Limited,AJAX SWEATER,accord
AKH Apparels Ltd,AKH APPARELS,accord
AKH FASHIONS LIMITED,AKH FASHIONS,accord
AKH FASHIONS LTD,AKH FASHIONS,accord
AKH KNITTING & DYEING LTD.,AKH KNITTING & DYEING,accord
AKH Shirts Ltd. (Unit 3),AKH SHIRTS LTD UNIT 3,accord
AKH Stitch Art LTD,AKH STITCH ART,accord
AKH Stitch Art Ltd.,AKH STITCH ART,accord
Al Islam Textile Industry Ltd.,AL ISLAM TEXTILE INDUSTRY,accord
Alamode Apparels Ltd.,ALAMODE APPARELS,accord
Alaudin Garments Ltd.,ALAUDIN GARMENTS,accord
Aleaya Sweater Ltd.,ALEAYA SWEATER,accord
Alema Textiles Ltd,ALEMA TEXTILES,accord
Alfa Patterns (Bangladesh)Ltd.,ALFA PATTERNS BANGLADESH,accord
Alfa Textiles Ltd.,ALFA TEXTILES,accord
Ali Apparels Ltd.,ALI APPARELS,accord
Alif Apparels Ltd.,ALIF APPARELS,accord
ALIF GARMENTS LIMITED,ALIF GARMENTS,accord
Alif Garments Ltd.,ALIF GARMENTS,accord
Alif Textiles Ltd.,ALIF TEXTILES,accord
AL‚ÄêISLAM TEXTILES LTD,AL‚ÄÊISLAM TEXTILES,accord
ALL WEATHER FASHIONS LTD,ALL WEATHER FASHIONS,accord
Alliance Stitches Ltd.,ALLIANCE STITCHES,accord
ALLTEX INDUSTRIES LTD,ALLTEX INDUSTRIES,accord
Alpha Knit App.Ltd.,ALPHA KNIT APP,accord
Alpha Knitting Wear Limited,ALPHA KNITTING WEAR,accord
Alps Apparels LTD/KNIT TOP&BOTTOM,ALPS APPARELS LTD/KNIT TOP&BOTTOM,accord
AMA Syntex Ltd,AMA SYNTEX,accord
AMAN FASHIONS & DESIGNS LTD,AMAN FASHIONS & DESIGNS,accord
Aman Graphics & Designs Ltd.,AMAN GRAPHICS & DESIGNS,accord
Aman Knitting,AMAN KNITTING,accord
Aman Knittings Limited,AMAN KNITTINGS,accord
Aman Sweaters Ltd,AMAN SWEATERS,accord
Aman Tex Limited,AMAN TEX,accord
Amazing Fashion Ltd,AMAZING FASHION,accord
Amazon Tex Knit Fashion Ltd,AMAZON TEX KNIT FASHION,accord
Ambia Apparels Ltd.,AMBIA APPARELS,accord
AMCO FASHINS LTD,AMCO FASHINS,accord
Amena (Pvt.) Ltd.,AMENA PVT,accord
Amex Knitting & Dyeing Industries Ltd.,AMEX KNITTING & DYEING INDUSTRIES,accord
Amichi Apparels Ltd.,AMICHI APPARELS,accord
Amir Sweater & Apparels Ltd.,AMIR SWEATER & APPARELS,accord
Amity design ltd.,AMITY DESIGN,accord
Amity Sweaters Ltd.,AMITY SWEATERS,accord
Amotex Ltd.,AMOTEX,accord
Ltd.,,accord
AMS Knitwear Ltd.,AMS KNITWEAR,accord
Anam Garments Ltd,ANAM GARMENTS,accord
Anan Socks Ltd.,ANAN SOCKS,accord
"Ananta Apparels Ltd .136 Elephant Road, Ananta Plaza","ANANTA APPARELS LTD 136 ELEPHANT ROAD, ANANTA PLAZA",accord
Ananta Casual Wear Ltd.,ANANTA CASUAL WEAR,accord
Ananta Denim,ANANTA DENIM,accord
ANANTA GARMENTS LTD,ANANTA GARMENTS,accord
Ananta Huaxiang Ltd.,ANANTA HUAXIANG,accord
Ananta Jeans wear Ltd.,ANANTA JEANS WEAR,accord
Angshuk Ltd.,ANGSHUK,accord
Anik composite mills ltd.,ANIK COMPOSITE MILLS,accord
Anika Garments (Pvt.) Ltd.,ANIKA GARMENTS PVT,accord
Anlima Textile Limited,ANLIMA TEXTILE,accord
Annesha Group Of Co. Ltd.,ANNESHA GROUP OF CO,accord
Annesha Style Limited,ANNESHA STYLE,accord
Anowara Fashions Ltd,ANOWARA FASHIONS,accord
Anowara Knit Composite Ltd.,ANOWARA KNIT COMPOSITE,accord
Antim Knit Composite LTD,ANTIM KNIT COMPOSITE,accord
Antim Knitting Dyeing & Finishing Ltd.,ANTIM KNITTING DYEING & FINISHING,accord
ANUPAM HOSIERY INDUSTRY (PVT.) LTD.,ANUPAM HOSIERY INDUSTRY PVT,accord
Anupom Fashion Wear Ltd.,ANUPOM FASHION WEAR,accord
Anzir apparels ltd ( unite 2),ANZIR APPARELS LTD  UNITE 2,accord
A‚ÄêOne BD,A‚ÄÊONE BD,accord
A‚ÄêOne Polar Limited,A‚ÄÊONE POLAR,accord
Apex Adelchi footwear Limited.,APEX ADELCHI FOOTWEAR,accord
Apex Knit composite Ltd.,APEX KNIT COMPOSITE,accord
Apex Lingerie Ltd.,APEX LINGERIE,accord
Apex Spinning & Knitting Mills,APEX SPINNING & KNITTING MILLS,accord
Apex Textile Printing Mills,APEX TEXTILE PRINTING MILLS,accord
Apex Weaving & Finishing Mills Ltd,APEX WEAVING & FINISHING MILLS,accord
Apex Weaving and Finishing Mills,APEX WEAVING AND FINISHING MILLS,accord
Apparel 21 Ltd. neue Unit (Lithe Group),APPAREL 21 LTD NEUE UNIT LITHE GROUP,accord
Apparel Bangla Sourcing ltd,APPAREL BANGLA SOURCING,accord
Apparel Concept Ltd.,APPAREL CONCEPT,accord
Apparel Gallery Ltd,APPAREL GALLERY,accord
Apparel Today Ltd.,APPAREL TODAY,accord
APPAREL VILLAGE,APPAREL VILLAGE,accord
APS Apparels Ltd.,APS APPARELS,accord
APS Design Works Ltd.,APS DESIGN WORKS,accord
Aptech Designs Ltd,APTECH DESIGNS,accord
AR Knittwear ltd,AR KNITTWEAR,accord
ARA / Apparel Export Ltd.,ARA / APPAREL EXPORT,accord
ARABI Fashion Ltd,ARABI FASHION,accord
ARAFAT FASHION GARMENTS LIMITED,ARAFAT FASHION GARMENTS,accord
AREFIN TEXTILE MILLS LIMITED.,AREFIN TEXTILE MILLS,accord
Arion Dresses Limited,ARION DRESSES,accord
Aristocrat Fashion(Pvt.)Ltd,ARISTOCRAT FASHIONPVT,accord
Arjon Fashions Ltd.,ARJON FASHIONS,accord
Armana Fashions,ARMANA FASHIONS,accord
ARMOUR GARMENTS LTD,ARMOUR GARMENTS,accord
AROUND STAR SWEATERS LTD.,AROUND STAR SWEATERS,accord
Arrival Fashion Limited,ARRIVAL FASHION,accord
ARRIVAL FINISHING CENTER LTD,ARRIVAL FINISHING CENTER,accord
Arrow Apparels Ltd,ARROW APPARELS,accord
Arrow Jeans Ltd,ARROW JEANS,accord
Artisan Ceramics Limited,ARTISAN CERAMICS,accord
ARTISTIC DESIGN LTD,ARTISTIC DESIGN,accord
Arunima Apparels Ltd.,ARUNIMA APPARELS,accord
Arunima Sportswear Ltd,ARUNIMA SPORTS WEAR,accord
Arva Textiles Ltd,ARVA TEXTILES,accord
Aryan Knitwear,ARYAN KNITWEAR,accord
Designs Ltd),DESIGNS,accord
Ashique Dress Design Ltd.,ASHIQUE DRESS DESIGN,accord
Ashique Jeans Apparels Ltd.,ASHIQUE JEANS APPARELS,accord
Ashulia Apparels ltd,ASHULIA APPARELS,accord
ASK HANDICRAFTS LTD,ASK HANDICRAFTS,accord
Asrotex,ASROTEX,accord
"Asrotex Unit 2Batjuri, Natun Bazar, Sreepur, Gazipur, Dhaka","ASROTEX UNIT 2BATJURI, NATUN BAZAR, SREEPUR, GAZIPUR, DHAKA",accord
AST Knitwear Limited,AST KNITWEAR,accord
ASTRAS GARMENTS LTD,ASTRAS GARMENTS,accord
ASWAD COMPOSITE MILLS LTD. ( U‚Äê2),ASWAD COMPOSITE MILLS LTD  U‚ÄÊ2,accord
Atashi fashion ltd.,ATASHI FASHION,accord
ATHLETIC SUPPORT LIMITED,ATHLETIC SUPPORT,accord
ATS PEARL LTD,ATS PEARL,accord
ATTIRS MANUFACTURING CO,ATTIRS MANUFACTURING CO,accord
Avant Garde Fashion Ltd.,AVANT GARDE FASHION,accord
Ayesha Clothing Co. Ltd.,AYESHA CLOTHING CO,accord
Ayesha Washing Limited,AYESHA WASHING,accord
Ayman Textiles Ltd.,AYMAN TEXTILES,accord
Azad Rifath,AZAD RIFATH,accord
"Azim & Son (Pvt) Ltd Unit 135‚ÄêB/1, INDIRA ROAD, DHAKA","AZIM & SON PVT LTD UNIT 135‚ÄÊB/1, INDIRA ROAD, DHAKA",accord
"Azim & Son (Pvt) Ltd Unit 2Gacha Road, Fakir Market, Gazipur","AZIM & SON PVT LTD UNIT 2GACHA ROAD, FAKIR MARKET, GAZIPUR",accord
Azim Mannan Garments Ltd.,AZIM MANNAN GARMENTS,accord
B2B Excellence Ltd,B2B EXCELLENCE,accord
FASHION,FASHION,accord
Babylon Dressess Ltd.,BABYLON DRESSES,accord
BABYLON GARMENTS AND DRESSES LTD,BABYLON GARMENTS AND DRESSES,accord
Badgetex Apparels Ltd,BADGETEX APPARELS,accord
Badhan Knit Fashion Ltd,BADHAN KNIT FASHION,accord
BAIZED DRESSES (PVT) LIMITED,BAIZED DRESSES PVT,accord
Baleno Readymade Garments Pvt. Ltd.,BALENO READYMADE GARMENTS PVT,accord
BANDO DESIGN LTD.,BANDO DESIGN,accord
Bando Fashion,BANDO FASHION,accord
BandoFashins Ltd.,BANDOFASHINS,accord
Banex Apparels Limited,BANEX APPARELS,accord
BANGA GARMENTS LIMITED,BANGA GARMENTS,accord
Bangla Poshak Limited,BANGLA POSHAK,accord
Bangladesh Spinners & Knitters (PVT) Ltd,BANGLADESH SPINNERS & KNITTERS PVT,accord
Ltd.,,accord
Base Fashion Ltd,BASE FASHION,accord
Base Textiles Ltd,BASE TEXTILES,accord
Basic Apparels Ltd.,BASIC APPARELS,accord
BASIC IMPEX group Motaleb,BASIC IMPEX GROUP MOTALEB,accord
Basic Shirts Ltd.,BASIC SHIRTS,accord
"Baxter Brenton (BD) Clothing Mfg. Co. Ltd. FS SFB: 07(1st Floor) DEPZ, Savar","BAXTER BRENTON BD CLOTHING MFG CO LTD FS SFB 071ST FLOOR DEPZ, SAVAR",accord
Bay Creation Ltd,BAY CREATION,accord
Bay footwear Ltd.,BAY FOOTWEAR,accord
BD. Knit Design Ltd.,BD KNIT DESIGN,accord
BEA‚ÄêCON KNIT WEAR LTD.,BEA‚ÄÊCON KNIT WEAR,accord
BEATS FASHION,BEATS FASHION,accord
BEAT'S FASHION LTD,BEATS FASHION,accord
Beget Knitwear,BEGET KNITWEAR,accord
BEKA Garments & Textiles Ltd,BEKA GARMENTS & TEXTILES,accord
Belamy Textiles Ltd.,BELAMY TEXTILES,accord
Bellissima Apparels Limited,BELLISSIMA APPARELS,accord
Bengal Jeans Ltd,BENGAL JEANS,accord
Bengal Shoes Industries,BENGAL SHOES INDUSTRIES,accord
Benhid Apparels Ltd,BENHID APPARELS,accord
Beo Apparel Manufacturing Ltd.,BEO APPAREL MANUFACTURING,accord
Beq Knit Ltd,BEQ KNIT,accord
BEST SHIRTS LTD,BEST SHIRTS,accord
Best Wool Sweaters Ltd,BEST WOOL SWEATERS,accord
Beximco Apparels Ltd,BEXIMCO APPARELS,accord
Beximco Fashions Ltd.,BEXIMCO FASHIONS,accord
